0,184:0.032258063554763794 257:0.032258063554763794 362:0.032258063554763794 560:0.032258063554763794 565:0.032258063554763794 597:0.032258063554763794 600:0.032258063554763794 601:0.032258063554763794 637:0.032258063554763794 729:0.032258063554763794 805:0.032258063554763794 816:0.032258063554763794 942:0.032258063554763794 1116:0.032258063554763794 1435:0.032258063554763794 1545:0.032258063554763794 1623:0.032258063554763794 1635:0.032258063554763794 1846:0.032258063554763794 2085:0.032258063554763794 2338:0.032258063554763794 2343:0.032258063554763794 2565:0.032258063554763794 2604:0.032258063554763794 2696:0.032258063554763794 2741:0.032258063554763794 2918:0.032258063554763794 2970:0.032258063554763794 3502:0.032258063554763794 3548:0.032258063554763794 3647:0.032258063554763794
1,82:0.03030303120613098 102:0.03030303120613098 114:0.03030303120613098 417:0.03030303120613098 653:0.03030303120613098 797:0.03030303120613098 805:0.03030303120613098 831:0.03030303120613098 849:0.03030303120613098 892:0.03030303120613098 1073:0.03030303120613098 1083:0.03030303120613098 1165:0.03030303120613098 1288:0.03030303120613098 1953:0.03030303120613098 2436:0.03030303120613098 2510:0.03030303120613098 2733:0.03030303120613098 2741:0.03030303120613098 2879:0.03030303120613098 2909:0.03030303120613098 2930:0.03030303120613098 3016:0.03030303120613098 3126:0.03030303120613098 3160:0.03030303120613098 3228:0.03030303120613098 3254:0.03030303120613098 3330:0.03030303120613098 3364:0.03030303120613098 3447:0.03030303120613098 3461:0.03030303120613098 3639:0.03030303120613098 3640:0.03030303120613098
2,44:0.03999999910593033 169:0.03999999910593033 739:0.03999999910593033 808:0.03999999910593033 816:0.03999999910593033 1210:0.03999999910593033 1213:0.03999999910593033 1274:0.03999999910593033 1527:0.03999999910593033 1541:0.03999999910593033 1602:0.03999999910593033 1618:0.03999999910593033 1620:0.03999999910593033 1634:0.03999999910593033 2139:0.03999999910593033 2143:0.03999999910593033 2188:0.03999999910593033 2278:0.03999999910593033 2399:0.03999999910593033 2539:0.03999999910593033 2592:0.03999999910593033 3163:0.03999999910593033 3377:0.03999999910593033 3472:0.03999999910593033 3644:0.03999999910593033
3,13:0.022727273404598236 32:0.022727273404598236 169:0.022727273404598236 174:0.022727273404598236 236:0.022727273404598236 285:0.022727273404598236 286:0.022727273404598236 314:0.022727273404598236 380:0.022727273404598236 472:0.022727273404598236 535:0.022727273404598236 620:0.022727273404598236 808:0.022727273404598236 1036:0.022727273404598236 1170:0.022727273404598236 1245:0.022727273404598236 1311:0.022727273404598236 1408:0.022727273404598236 1446:0.022727273404598236 1471:0.022727273404598236 1472:0.022727273404598236 1618:0.022727273404598236 1814:0.022727273404598236 2015:0.022727273404598236 2024:0.022727273404598236 2044:0.022727273404598236 2067:0.022727273404598236 2216:0.022727273404598236 2258:0.022727273404598236 2298:0.022727273404598236 2486:0.022727273404598236 2521:0.022727273404598236 2576:0.022727273404598236 2618:0.022727273404598236 2667:0.022727273404598236 2680:0.022727273404598236 3115:0.022727273404598236 3288:0.022727273404598236 3310:0.022727273404598236 3361:0.022727273404598236 3487:0.022727273404598236 3525:0.022727273404598236 3564:0.022727273404598236 3647:0.022727273404598236
4,206:0.02777777798473835 286:0.02777777798473835 413:0.02777777798473835 418:0.02777777798473835 579:0.02777777798473835 601:0.02777777798473835 646:0.02777777798473835 721:0.02777777798473835 806:0.02777777798473835 808:0.02777777798473835 922:0.02777777798473835 1087:0.02777777798473835 1090:0.02777777798473835 1177:0.02777777798473835 1186:0.02777777798473835 1239:0.02777777798473835 1369:0.02777777798473835 1382:0.02777777798473835 1565:0.02777777798473835 1623:0.02777777798473835 1842:0.02777777798473835 1998:0.02777777798473835 2143:0.02777777798473835 2230:0.02777777798473835 2275:0.02777777798473835 2308:0.02777777798473835 2570:0.02777777798473835 2615:0.02777777798473835 2676:0.02777777798473835 2854:0.02777777798473835 2927:0.02777777798473835 3136:0.02777777798473835 3249:0.02777777798473835 3416:0.02777777798473835 3434:0.02777777798473835 3681:0.02777777798473835
5,18:0.029411764815449715 179:0.029411764815449715 251:0.029411764815449715 400:0.029411764815449715 507:0.029411764815449715 720:0.029411764815449715 729:0.029411764815449715 795:0.029411764815449715 853:0.029411764815449715 854:0.029411764815449715 993:0.029411764815449715 1071:0.029411764815449715 1131:0.029411764815449715 1433:0.029411764815449715 1891:0.029411764815449715 1987:0.029411764815449715 2059:0.029411764815449715 2143:0.029411764815449715 2302:0.029411764815449715 2411:0.029411764815449715 2521:0.029411764815449715 2562:0.029411764815449715 2594:0.029411764815449715 2618:0.029411764815449715 2691:0.029411764815449715 2722:0.029411764815449715 2899:0.029411764815449715 2977:0.029411764815449715 3175:0.029411764815449715 3254:0.029411764815449715 3330:0.029411764815449715 3403:0.029411764815449715 3492:0.029411764815449715 3552:0.029411764815449715
6,22:0.027027027681469917 265:0.027027027681469917 387:0.027027027681469917 535:0.027027027681469917 608:0.027027027681469917 617:0.027027027681469917 704:0.027027027681469917 731:0.027027027681469917 762:0.027027027681469917 947:0.027027027681469917 1093:0.027027027681469917 1131:0.027027027681469917 1327:0.027027027681469917 1433:0.027027027681469917 1516:0.027027027681469917 1541:0.027027027681469917 1597:0.027027027681469917 1659:0.027027027681469917 1740:0.027027027681469917 1892:0.027027027681469917 1901:0.027027027681469917 2085:0.027027027681469917 2306:0.027027027681469917 2374:0.027027027681469917 2539:0.027027027681469917 2568:0.027027027681469917 2752:0.027027027681469917 2783:0.027027027681469917 2842:0.027027027681469917 2890:0.027027027681469917 3092:0.027027027681469917 3259:0.027027027681469917 3472:0.027027027681469917 3498:0.027027027681469917 3525:0.027027027681469917 3572:0.027027027681469917 3644:0.027027027681469917
7,102:0.02857142873108387 169:0.02857142873108387 511:0.02857142873108387 601:0.02857142873108387 659:0.02857142873108387 822:0.02857142873108387 1011:0.02857142873108387 1053:0.02857142873108387 1054:0.02857142873108387 1303:0.02857142873108387 1324:0.02857142873108387 1325:0.02857142873108387 1477:0.02857142873108387 1516:0.02857142873108387 1533:0.02857142873108387 1555:0.02857142873108387 1623:0.02857142873108387 1641:0.02857142873108387 1721:0.02857142873108387 1912:0.02857142873108387 2038:0.02857142873108387 2085:0.02857142873108387 2239:0.02857142873108387 2241:0.02857142873108387 2280:0.02857142873108387 2436:0.02857142873108387 2539:0.02857142873108387 2565:0.02857142873108387 2627:0.02857142873108387 2884:0.02857142873108387 3105:0.02857142873108387 3115:0.02857142873108387 3460:0.02857142873108387 3496:0.02857142873108387 3572:0.02857142873108387
8,22:0.03703703731298447 65:0.03703703731298447 110:0.03703703731298447 186:0.03703703731298447 226:0.03703703731298447 249:0.03703703731298447 262:0.03703703731298447 547:0.03703703731298447 727:0.03703703731298447 865:0.03703703731298447 950:0.03703703731298447 995:0.03703703731298447 1948:0.03703703731298447 1982:0.03703703731298447 2139:0.03703703731298447 2239:0.03703703731298447 2282:0.03703703731298447 2456:0.03703703731298447 2486:0.03703703731298447 2563:0.03703703731298447 2685:0.03703703731298447 2686:0.03703703731298447 2745:0.03703703731298447 2865:0.03703703731298447 3126:0.03703703731298447 3272:0.03703703731298447 3564:0.03703703731298447
9,179:0.02777777798473835 752:0.02777777798473835 822:0.02777777798473835 1025:0.02777777798473835 1090:0.02777777798473835 1126:0.02777777798473835 1287:0.02777777798473835 1290:0.02777777798473835 1471:0.02777777798473835 1559:0.02777777798473835 1618:0.02777777798473835 2085:0.02777777798473835 2184:0.02777777798473835 2188:0.02777777798473835 2189:0.02777777798473835 2307:0.02777777798473835 2361:0.02777777798473835 2411:0.02777777798473835 2521:0.02777777798473835 2539:0.02777777798473835 2570:0.02777777798473835 2617:0.02777777798473835 2689:0.02777777798473835 2691:0.02777777798473835 2718:0.02777777798473835 3050:0.02777777798473835 3092:0.02777777798473835 3095:0.02777777798473835 3169:0.02777777798473835 3213:0.02777777798473835 3230:0.02777777798473835 3286:0.02777777798473835 3378:0.02777777798473835 3429:0.02777777798473835 3501:0.02777777798473835 3644:0.02777777798473835
